student_id,course_id,action_date,action_type,outcome_note,staff_user
STU-1073,STAT-301,2026-09-28 00:00:00,Office Hours Meeting,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1081,CS-204,2026-09-21 00:00:00,Office Hours Meeting,Referred to math learning lab for supplementary tutoring on exam preparation.,Dr. Maya
STU-1082,DATA-101,2026-02-23 00:00:00,Attendance Nudge Email,Referred to math learning lab for supplementary tutoring on exam preparation.,Dr. Maya
STU-1084,MATH-150,2026-03-09 00:00:00,Office Hours Meeting,Sent reminder regarding unsubmitted homework; student indicated intent to complete.,Dr. Maya
STU-1087,CS-204,2026-02-23 00:00:00,Office Hours Meeting,Sent reminder regarding unsubmitted homework; student indicated intent to complete.,Dr. Maya
STU-1087,STAT-301,2026-10-19 00:00:00,Attendance Nudge Email,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1090,DATA-101,2026-02-23 00:00:00,Office Hours Meeting,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1094,STAT-301,2026-10-12 00:00:00,Tutoring Center Referral,Referred to math learning lab for supplementary tutoring on exam preparation.,Dr. Maya
STU-1103,DATA-101,2026-09-28 00:00:00,Attendance Nudge Email,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1103,STAT-301,2026-03-09 00:00:00,1:1 Advisor Check-in,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1108,CS-204,2026-02-16 00:00:00,Attendance Nudge Email,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1112,CS-204,2026-03-02 00:00:00,Tutoring Center Referral,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1119,CS-204,2026-10-19 00:00:00,Attendance Nudge Email,Referred to math learning lab for supplementary tutoring on exam preparation.,Dr. Maya
STU-1119,STAT-301,2026-09-28 00:00:00,Tutoring Center Referral,Referred to math learning lab for supplementary tutoring on exam preparation.,Dr. Maya
STU-1119,MATH-150,2026-03-02 00:00:00,Attendance Nudge Email,Sent reminder regarding unsubmitted homework; student indicated intent to complete.,Dr. Maya
STU-1127,CS-204,2026-10-05 00:00:00,Office Hours Meeting,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1128,STAT-301,2026-10-19 00:00:00,1:1 Advisor Check-in,Referred to math learning lab for supplementary tutoring on exam preparation.,Dr. Maya
STU-1134,STAT-301,2026-03-02 00:00:00,1:1 Advisor Check-in,Sent reminder regarding unsubmitted homework; student indicated intent to complete.,Dr. Maya
STU-1136,MATH-150,2026-03-02 00:00:00,Attendance Nudge Email,Sent reminder regarding unsubmitted homework; student indicated intent to complete.,Dr. Maya
STU-1141,MATH-150,2026-09-28 00:00:00,1:1 Advisor Check-in,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1143,MATH-150,2026-10-19 00:00:00,Office Hours Meeting,Sent reminder regarding unsubmitted homework; student indicated intent to complete.,Dr. Maya
STU-1145,CS-204,2026-09-28 00:00:00,1:1 Advisor Check-in,Sent reminder regarding unsubmitted homework; student indicated intent to complete.,Dr. Maya
STU-1147,MATH-150,2026-10-05 00:00:00,Tutoring Center Referral,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1147,CS-204,2026-10-05 00:00:00,Tutoring Center Referral,Sent reminder regarding unsubmitted homework; student indicated intent to complete.,Dr. Maya
STU-1148,STAT-301,2026-10-19 00:00:00,Office Hours Meeting,Referred to math learning lab for supplementary tutoring on exam preparation.,Dr. Maya
STU-1150,STAT-301,2026-02-23 00:00:00,Attendance Nudge Email,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1155,CS-204,2026-02-16 00:00:00,Attendance Nudge Email,Referred to math learning lab for supplementary tutoring on exam preparation.,Dr. Maya
STU-1155,STAT-301,2026-10-19 00:00:00,Tutoring Center Referral,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1162,STAT-301,2026-09-21 00:00:00,Office Hours Meeting,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1163,DATA-101,2026-09-21 00:00:00,Office Hours Meeting,Sent reminder regarding unsubmitted homework; student indicated intent to complete.,Dr. Maya
STU-1171,CS-204,2026-09-28 00:00:00,1:1 Advisor Check-in,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1177,DATA-101,2026-10-12 00:00:00,Tutoring Center Referral,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1184,CS-204,2026-03-02 00:00:00,Tutoring Center Referral,Sent reminder regarding unsubmitted homework; student indicated intent to complete.,Dr. Maya
STU-1184,STAT-301,2026-03-02 00:00:00,Office Hours Meeting,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1184,DATA-101,2026-02-16 00:00:00,Tutoring Center Referral,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1188,CS-204,2026-10-26 00:00:00,1:1 Advisor Check-in,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1188,MATH-150,2026-03-16 00:00:00,Attendance Nudge Email,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1193,MATH-150,2026-03-16 00:00:00,Tutoring Center Referral,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1193,STAT-301,2026-03-16 00:00:00,1:1 Advisor Check-in,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1197,MATH-150,2026-10-12 00:00:00,1:1 Advisor Check-in,Referred to math learning lab for supplementary tutoring on exam preparation.,Dr. Maya
STU-1200,DATA-101,2026-10-19 00:00:00,Tutoring Center Referral,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1200,STAT-301,2026-03-09 00:00:00,Office Hours Meeting,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1212,DATA-101,2026-03-02 00:00:00,Attendance Nudge Email,Referred to math learning lab for supplementary tutoring on exam preparation.,Dr. Maya
STU-1217,DATA-101,2026-10-05 00:00:00,Tutoring Center Referral,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1220,STAT-301,2026-10-12 00:00:00,Office Hours Meeting,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1225,DATA-101,2026-02-16 00:00:00,1:1 Advisor Check-in,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1229,CS-204,2026-02-23 00:00:00,Office Hours Meeting,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1239,CS-204,2026-03-02 00:00:00,1:1 Advisor Check-in,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1241,CS-204,2026-09-28 00:00:00,1:1 Advisor Check-in,Sent reminder regarding unsubmitted homework; student indicated intent to complete.,Dr. Maya
STU-1242,STAT-301,2026-10-19 00:00:00,Attendance Nudge Email,Sent reminder regarding unsubmitted homework; student indicated intent to complete.,Dr. Maya
STU-1245,CS-204,2026-09-21 00:00:00,Tutoring Center Referral,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1250,DATA-101,2026-02-23 00:00:00,Office Hours Meeting,Sent reminder regarding unsubmitted homework; student indicated intent to complete.,Dr. Maya
STU-1253,DATA-101,2026-10-05 00:00:00,1:1 Advisor Check-in,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1271,MATH-150,2026-10-19 00:00:00,1:1 Advisor Check-in,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1271,DATA-101,2026-02-16 00:00:00,Tutoring Center Referral,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1274,DATA-101,2026-10-19 00:00:00,1:1 Advisor Check-in,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1276,MATH-150,2026-02-23 00:00:00,Attendance Nudge Email,Referred to math learning lab for supplementary tutoring on exam preparation.,Dr. Maya
STU-1285,STAT-301,2026-10-12 00:00:00,1:1 Advisor Check-in,Sent reminder regarding unsubmitted homework; student indicated intent to complete.,Dr. Maya
STU-1285,MATH-150,2026-02-16 00:00:00,Tutoring Center Referral,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1292,STAT-301,2026-09-28 00:00:00,Attendance Nudge Email,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1292,CS-204,2026-10-26 00:00:00,Tutoring Center Referral,Sent reminder regarding unsubmitted homework; student indicated intent to complete.,Dr. Maya
STU-1294,MATH-150,2026-09-21 00:00:00,Tutoring Center Referral,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1300,STAT-301,2026-03-02 00:00:00,1:1 Advisor Check-in,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1302,DATA-101,2026-10-12 00:00:00,Attendance Nudge Email,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1309,MATH-150,2026-03-16 00:00:00,1:1 Advisor Check-in,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1309,CS-204,2026-03-16 00:00:00,Attendance Nudge Email,Referred to math learning lab for supplementary tutoring on exam preparation.,Dr. Maya
STU-1309,DATA-101,2026-03-02 00:00:00,1:1 Advisor Check-in,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1318,MATH-150,2026-10-12 00:00:00,1:1 Advisor Check-in,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1318,STAT-301,2026-03-09 00:00:00,Attendance Nudge Email,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1320,MATH-150,2026-02-16 00:00:00,1:1 Advisor Check-in,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1322,CS-204,2026-02-16 00:00:00,Tutoring Center Referral,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1323,DATA-101,2026-02-16 00:00:00,Attendance Nudge Email,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1327,MATH-150,2026-03-09 00:00:00,Tutoring Center Referral,Sent reminder regarding unsubmitted homework; student indicated intent to complete.,Dr. Maya
STU-1329,STAT-301,2026-10-19 00:00:00,Tutoring Center Referral,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1331,DATA-101,2026-03-02 00:00:00,Office Hours Meeting,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1335,CS-204,2026-03-09 00:00:00,Tutoring Center Referral,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1336,DATA-101,2026-10-19 00:00:00,Office Hours Meeting,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1337,CS-204,2026-10-26 00:00:00,Office Hours Meeting,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1338,STAT-301,2026-10-26 00:00:00,Office Hours Meeting,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1342,MATH-150,2026-02-09 00:00:00,Office Hours Meeting,Sent reminder regarding unsubmitted homework; student indicated intent to complete.,Dr. Maya
STU-1347,DATA-101,2026-03-16 00:00:00,Tutoring Center Referral,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1349,CS-204,2026-10-26 00:00:00,Tutoring Center Referral,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1349,STAT-301,2026-02-16 00:00:00,Tutoring Center Referral,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1351,STAT-301,2026-09-21 00:00:00,Office Hours Meeting,Referred to math learning lab for supplementary tutoring on exam preparation.,Dr. Maya
STU-1353,DATA-101,2026-03-09 00:00:00,1:1 Advisor Check-in,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1356,DATA-101,2026-03-16 00:00:00,1:1 Advisor Check-in,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1365,MATH-150,2026-02-23 00:00:00,Attendance Nudge Email,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1365,DATA-101,2026-10-05 00:00:00,Office Hours Meeting,Sent reminder regarding unsubmitted homework; student indicated intent to complete.,Dr. Maya
STU-1369,MATH-150,2026-09-28 00:00:00,Tutoring Center Referral,Sent reminder regarding unsubmitted homework; student indicated intent to complete.,Dr. Maya
STU-1374,MATH-150,2026-10-26 00:00:00,Office Hours Meeting,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1377,DATA-101,2026-02-16 00:00:00,Attendance Nudge Email,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1378,MATH-150,2026-03-02 00:00:00,1:1 Advisor Check-in,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1381,MATH-150,2026-10-19 00:00:00,Office Hours Meeting,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1392,DATA-101,2026-10-05 00:00:00,Tutoring Center Referral,Sent reminder regarding unsubmitted homework; student indicated intent to complete.,Dr. Maya
STU-1394,CS-204,2026-10-19 00:00:00,Office Hours Meeting,Referred to math learning lab for supplementary tutoring on exam preparation.,Dr. Maya
STU-1394,MATH-150,2026-09-21 00:00:00,Attendance Nudge Email,Referred to math learning lab for supplementary tutoring on exam preparation.,Dr. Maya
STU-1405,CS-204,2026-10-05 00:00:00,Office Hours Meeting,Referred to math learning lab for supplementary tutoring on exam preparation.,Dr. Maya
STU-1413,STAT-301,2026-09-28 00:00:00,Tutoring Center Referral,Referred to math learning lab for supplementary tutoring on exam preparation.,Dr. Maya
STU-1414,CS-204,2026-03-16 00:00:00,1:1 Advisor Check-in,Sent reminder regarding unsubmitted homework; student indicated intent to complete.,Dr. Maya
STU-1414,DATA-101,2026-09-28 00:00:00,Office Hours Meeting,Sent reminder regarding unsubmitted homework; student indicated intent to complete.,Dr. Maya
STU-1416,DATA-101,2026-03-02 00:00:00,Tutoring Center Referral,Sent reminder regarding unsubmitted homework; student indicated intent to complete.,Dr. Maya
STU-1424,STAT-301,2026-09-28 00:00:00,1:1 Advisor Check-in,Referred to math learning lab for supplementary tutoring on exam preparation.,Dr. Maya
STU-1426,MATH-150,2026-02-23 00:00:00,1:1 Advisor Check-in,Referred to math learning lab for supplementary tutoring on exam preparation.,Dr. Maya
STU-1426,DATA-101,2026-02-23 00:00:00,Office Hours Meeting,Sent reminder regarding unsubmitted homework; student indicated intent to complete.,Dr. Maya
STU-1426,STAT-301,2026-03-02 00:00:00,Attendance Nudge Email,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1434,CS-204,2026-10-26 00:00:00,Attendance Nudge Email,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1434,MATH-150,2026-02-16 00:00:00,Office Hours Meeting,Referred to math learning lab for supplementary tutoring on exam preparation.,Dr. Maya
STU-1435,MATH-150,2026-10-05 00:00:00,Attendance Nudge Email,Sent reminder regarding unsubmitted homework; student indicated intent to complete.,Dr. Maya
STU-1438,MATH-150,2026-03-02 00:00:00,Attendance Nudge Email,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1438,STAT-301,2026-02-23 00:00:00,Tutoring Center Referral,Referred to math learning lab for supplementary tutoring on exam preparation.,Dr. Maya
STU-1441,STAT-301,2026-10-05 00:00:00,Office Hours Meeting,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1448,CS-204,2026-03-16 00:00:00,Attendance Nudge Email,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1449,STAT-301,2026-10-05 00:00:00,1:1 Advisor Check-in,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1451,MATH-150,2026-10-12 00:00:00,1:1 Advisor Check-in,Sent reminder regarding unsubmitted homework; student indicated intent to complete.,Dr. Maya
STU-1452,DATA-101,2026-03-09 00:00:00,Tutoring Center Referral,Referred to math learning lab for supplementary tutoring on exam preparation.,Dr. Maya
STU-1458,MATH-150,2026-03-09 00:00:00,Office Hours Meeting,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1465,STAT-301,2026-10-12 00:00:00,1:1 Advisor Check-in,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1466,CS-204,2026-02-16 00:00:00,Office Hours Meeting,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1466,DATA-101,2026-03-16 00:00:00,Office Hours Meeting,Sent reminder regarding unsubmitted homework; student indicated intent to complete.,Dr. Maya
STU-1477,MATH-150,2026-10-12 00:00:00,Attendance Nudge Email,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1482,CS-204,2026-03-02 00:00:00,Attendance Nudge Email,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1482,DATA-101,2026-03-02 00:00:00,Tutoring Center Referral,Sent reminder regarding unsubmitted homework; student indicated intent to complete.,Dr. Maya
STU-1482,STAT-301,2026-10-12 00:00:00,Office Hours Meeting,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1493,STAT-301,2026-09-21 00:00:00,Tutoring Center Referral,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1493,DATA-101,2026-03-09 00:00:00,Attendance Nudge Email,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1494,STAT-301,2026-10-05 00:00:00,Tutoring Center Referral,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1503,CS-204,2026-02-23 00:00:00,Attendance Nudge Email,Referred to math learning lab for supplementary tutoring on exam preparation.,Dr. Maya
STU-1503,STAT-301,2026-10-19 00:00:00,Office Hours Meeting,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1510,CS-204,2026-03-09 00:00:00,1:1 Advisor Check-in,Sent reminder regarding unsubmitted homework; student indicated intent to complete.,Dr. Maya
STU-1518,STAT-301,2026-03-02 00:00:00,Tutoring Center Referral,Referred to math learning lab for supplementary tutoring on exam preparation.,Dr. Maya
STU-1518,MATH-150,2026-09-21 00:00:00,1:1 Advisor Check-in,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1520,MATH-150,2026-10-12 00:00:00,1:1 Advisor Check-in,Sent reminder regarding unsubmitted homework; student indicated intent to complete.,Dr. Maya
STU-1520,DATA-101,2026-10-26 00:00:00,1:1 Advisor Check-in,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1523,CS-204,2026-02-16 00:00:00,Attendance Nudge Email,Sent reminder regarding unsubmitted homework; student indicated intent to complete.,Dr. Maya
STU-1530,MATH-150,2026-03-02 00:00:00,Office Hours Meeting,Sent reminder regarding unsubmitted homework; student indicated intent to complete.,Dr. Maya
STU-1538,STAT-301,2026-09-28 00:00:00,Tutoring Center Referral,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1540,CS-204,2026-03-16 00:00:00,1:1 Advisor Check-in,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1544,MATH-150,2026-09-21 00:00:00,Attendance Nudge Email,Sent reminder regarding unsubmitted homework; student indicated intent to complete.,Dr. Maya
STU-1546,CS-204,2026-09-21 00:00:00,Tutoring Center Referral,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1548,DATA-101,2026-10-19 00:00:00,Attendance Nudge Email,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1549,MATH-150,2026-09-28 00:00:00,Attendance Nudge Email,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1555,CS-204,2026-10-26 00:00:00,1:1 Advisor Check-in,Sent reminder regarding unsubmitted homework; student indicated intent to complete.,Dr. Maya
STU-1555,MATH-150,2026-10-26 00:00:00,Tutoring Center Referral,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1556,STAT-301,2026-03-02 00:00:00,Tutoring Center Referral,Referred to math learning lab for supplementary tutoring on exam preparation.,Dr. Maya
STU-1558,DATA-101,2026-09-28 00:00:00,1:1 Advisor Check-in,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1572,STAT-301,2026-10-12 00:00:00,Office Hours Meeting,Referred to math learning lab for supplementary tutoring on exam preparation.,Dr. Maya
STU-1573,MATH-150,2026-09-21 00:00:00,1:1 Advisor Check-in,Referred to math learning lab for supplementary tutoring on exam preparation.,Dr. Maya
STU-1575,STAT-301,2026-09-28 00:00:00,Attendance Nudge Email,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1576,MATH-150,2026-03-16 00:00:00,Attendance Nudge Email,Sent reminder regarding unsubmitted homework; student indicated intent to complete.,Dr. Maya
STU-1576,CS-204,2026-03-02 00:00:00,Tutoring Center Referral,Referred to math learning lab for supplementary tutoring on exam preparation.,Dr. Maya
STU-1579,MATH-150,2026-02-09 00:00:00,1:1 Advisor Check-in,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1583,STAT-301,2026-10-19 00:00:00,1:1 Advisor Check-in,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1583,MATH-150,2026-03-16 00:00:00,1:1 Advisor Check-in,Sent reminder regarding unsubmitted homework; student indicated intent to complete.,Dr. Maya
STU-1588,CS-204,2026-10-05 00:00:00,Office Hours Meeting,Referred to math learning lab for supplementary tutoring on exam preparation.,Dr. Maya
STU-1588,STAT-301,2026-03-09 00:00:00,Office Hours Meeting,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1595,MATH-150,2026-02-16 00:00:00,Attendance Nudge Email,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1599,MATH-150,2026-02-16 00:00:00,1:1 Advisor Check-in,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1603,DATA-101,2026-10-26 00:00:00,Office Hours Meeting,Referred to math learning lab for supplementary tutoring on exam preparation.,Dr. Maya
STU-1618,MATH-150,2026-02-23 00:00:00,Tutoring Center Referral,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1619,DATA-101,2026-10-12 00:00:00,Attendance Nudge Email,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1623,CS-204,2026-03-02 00:00:00,Office Hours Meeting,Sent reminder regarding unsubmitted homework; student indicated intent to complete.,Dr. Maya
STU-1630,MATH-150,2026-02-16 00:00:00,Attendance Nudge Email,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1638,STAT-301,2026-09-28 00:00:00,Office Hours Meeting,Referred to math learning lab for supplementary tutoring on exam preparation.,Dr. Maya
STU-1638,CS-204,2026-10-26 00:00:00,Tutoring Center Referral,Referred to math learning lab for supplementary tutoring on exam preparation.,Dr. Maya
STU-1640,CS-204,2026-10-19 00:00:00,1:1 Advisor Check-in,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1640,DATA-101,2026-10-26 00:00:00,Tutoring Center Referral,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1644,CS-204,2026-10-12 00:00:00,1:1 Advisor Check-in,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1659,CS-204,2026-09-28 00:00:00,1:1 Advisor Check-in,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1659,DATA-101,2026-09-28 00:00:00,Office Hours Meeting,Sent reminder regarding unsubmitted homework; student indicated intent to complete.,Dr. Maya
STU-1661,MATH-150,2026-03-02 00:00:00,Tutoring Center Referral,Sent reminder regarding unsubmitted homework; student indicated intent to complete.,Dr. Maya
STU-1661,STAT-301,2026-03-09 00:00:00,Attendance Nudge Email,Sent reminder regarding unsubmitted homework; student indicated intent to complete.,Dr. Maya
STU-1663,CS-204,2026-02-09 00:00:00,Tutoring Center Referral,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
STU-1668,MATH-150,2026-03-02 00:00:00,Tutoring Center Referral,Referred to math learning lab for supplementary tutoring on exam preparation.,Dr. Maya
STU-1670,STAT-301,2026-03-16 00:00:00,Tutoring Center Referral,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1674,CS-204,2026-02-09 00:00:00,1:1 Advisor Check-in,Reviewed attendance expectations; student agreed to office hours follow-up.,Dr. Maya
STU-1674,MATH-150,2026-09-28 00:00:00,Attendance Nudge Email,Sent reminder regarding unsubmitted homework; student indicated intent to complete.,Dr. Maya
STU-1676,DATA-101,2026-02-23 00:00:00,Tutoring Center Referral,Student discussed balancing part-time employment hours with assignment deadlines.,Dr. Maya
